Field,Name of organisation,Tech Stack,Topics
Data,SeaQL,"mysql, postgresql, rust, sql, sqlite","database, library, framework, sql, rust"
Data,Responsible AI and Human Centred Technology,"python, javascript, Technical writing","machine learning, ai, Fairness, Robustness, Safety, Interpretibility"
Data,R project for statistical computing,"c, javascript, c++, r-project, fortran","visualization, machine learning, data science, graphics, statistics"
Data,Society for Arts and Technology (SAT),"python, javascript, opengl, c++, supercollider","web, graphics, cloud, multimedia, accessibility"
Data,Wellcome Sanger Tree of Life,"python, javascript, rust, nextflow","genomics, bioinformatics, data analysis, genome assembly"
Data,DBpedia,"python, javascript, java, scala, rdf","natural language processing, semantic web, linked data, knowledge graph, data extraction"
Data,Center for Translational Data Science,"python, aws","bioinformatics, data science, cloud, Data Meshes"
Data,Ceph,"python, javascript, c++","distributed systems, Software-Defined-Storage"
Data,moja global,"python, javascript, c++, docker, Data-Science","climate monitoring, nature based solutions, land system modelling"
Data,Machine Learning for Science (ML4SCI),"python, machine learning, c++, data analysis, artificial intelligence","machine learning, science and medicine, algorithms, physics, astronomy"
Data,Open3D team,"python, c++, cuda, tensorflow, pytorch","3D machine learning, 3D data processing, 3D visualization, physically based rendering"
Data,Our World In Data,"python, mysql, d3, typescript, pandas","open data, data visualisation, Data cataloging"
Data,Liquid Galaxy project,"python, linux, android, flutter, Google Earth","visualization, networking, maps, cluster, ux"
Data,OpenCV,"python, c++, deep learning, ai","robotics, computer vision, ai, deep learning"
Data,Red Hen Lab,"python, machine learning, computer vision, nlp, data science","data science, media, language, multimodal communication, gesture"
Data,Forschungszentrum Jülich,"python, mpi, high performance computing, pytorch, gpu","neuroscience, data analytics, astrophysics, data-intensive science, earth-system monitoring"
Data,Mathesar,"python, postgresql, javascript, django, svelte","databases, web, data, nonprofit, self-hosted"
Data,PEcAn Project,"r, docker, api, geospatial","data science, ecosystem models, scientific visualization, climate science, Ecological Forecasting,"
Data,CNCF,"prometheus, kubernetes, OpenTelemetry, envoy","cloud, cloud native, observability"
Data,Software Heritage,"python, postgresql, javascript, django, git","big data, digital preservation, source code management, floss, big code"
Data,MetaBrainz Foundation Inc,"python, react, perl, postgres, spark","open data, music, books, Music recommendation, music social network"
